Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4
MWOA_Broker Trial 1,1.07648459426268,9.501999855041504,1.054266671816508,0.8648705709771265,50.0,2,3,2,1,2,9.604999876022339,8.829000062942503,6.719999990463257,7.217000207901001,8.719000062942504
MWOA_Broker Trial 2,0.9397431014111186,9.508000135421753,1.2655332887013753,0.8724021711135734,50.0,3,2,2,1,2,6.717999782562257,8.213000020980834,8.716999969482421,8.213000020980834,9.613000011444091
MWOA_Broker Trial 3,2.579011446638588,9.61,0.9879999999999999,0.6723413070456419,50.0,3,1,2,1,3,9.711999855041503,5.210999927520752,2.460999927520752,6.211000165939331,8.710999927520751
MWOA_Broker Trial 4,1.3335142746340765,9.499000072479248,1.0685666977564492,0.84625749979406,50.0,1,3,2,2,2,5.654333499272664,8.877666832605996,7.850999927520752,8.209999999999999,9.6
MWOA_Broker Trial 5,2.3455001382864062,9.444333260854085,1.0713333094914754,0.7870610307318419,50.0,2,3,2,1,2,9.21100016593933,9.544333260854085,6.600999927520752,3.21,8.6
MWOA_Broker Trial 6,2.2557514681846995,9.442333405812581,0.9493333333333334,0.781974790787366,50.0,2,2,3,1,2,9.100999927520752,9.544333260854085,7.960999927520752,3.211000165939331,7.101000165939331
MWOA_Broker Trial 7,1.4480644869776427,9.5,0.9865166811625162,0.8552526304947701,50.0,2,2,2,1,3,8.710999927520751,8.82099992752075,5.3905,8.10100016593933,9.600999927520752
MWOA_Broker Trial 8,1.7332564975665534,9.25,0.951899935722351,0.8137585538572019,50.0,1,3,3,1,2,5.654333260854085,8.819999999999999,9.350999927520752,5.210999927520752,8.6
MWOA_Broker Trial 9,1.7410328836389048,9.5,0.9433666407267252,0.7853263162311754,50.0,1,3,2,1,3,5.654333260854085,8.876666666666665,7.961000165939331,5.210999927520752,9.6
MWOA_Broker Trial 10,2.085414090682064,10.110000238418579,1.0103333333333335,0.7720540526503417,50.0,2,2,2,2,2,4.21,9.434333260854086,7.960999927520752,10.21100016593933,7.210999927520752
MWOA_Broker Trial 11,1.665694246175984,10.110000238418579,1.0398666739145914,0.811374859074696,50.0,3,2,2,1,2,7.1,9.503,8.600999927520752,10.21100016593933,5.6
MWOA_Broker Trial 12,1.0776085239942692,9.5,1.0546666189829508,0.8642947307385895,50.0,2,3,2,1,2,9.600999927520752,8.82099992752075,6.710999927520752,7.21,8.710999927520751
MWOA_Broker Trial 13,1.1188348504790175,9.443333333333333,1.0879000310897828,0.8764984135572202,50.0,2,3,2,1,2,9.209999999999999,9.544333499272664,6.71,7.21,8.710999927520751
MWOA_Broker Trial 14,2.975995185861165,10.003333333333332,1.2586666905085244,0.7031789440903733,50.0,3,2,3,1,1,10.104333499272663,9.544333499272664,6.6,7.210999927520752,1.7109999275207521
MWOA_Broker Trial 15,1.7861917982306763,9.61100016593933,1.0104333405812582,0.747372789530499,50.0,3,2,2,1,2,9.71100016593933,6.822,7.96,7.21,4.211999855041504
MWOA_Broker Trial 16,1.8663386777204838,9.250999927520752,1.0292666479746502,0.8281050699423883,50.0,1,3,3,1,2,4.21,8.82099992752075,9.350999927520752,7.210999927520752,8.710999927520751
MWOA_Broker Trial 17,3.875311393831079,10.11100016593933,1.5868166811625162,0.6302805426045398,50.0,4,2,1,2,1,9.465166594187416,8.877666594187417,1.7100000000000002,10.21100016593933,1.6
MWOA_Broker Trial 18,0.9627994517608228,9.444333260854085,1.0269999761581423,0.8688666950570101,50.0,2,3,2,1,2,9.10100016593933,9.545333188374837,7.960999927520752,7.210999927520752,7.210999927520752
MWOA_Broker Trial 19,2.3014018666264895,9.497999906539917,0.9466666428248086,0.7756159256885076,50.0,3,2,2,1,2,9.6,8.82099992752075,6.601000165939331,3.210999927520752,8.600999927520752
MWOA_Broker Trial 20,1.6500942057116452,9.334333260854086,0.9601333239873251,0.760689927776615,50.0,1,4,2,1,2,5.654333499272664,9.435333188374837,6.600999927520752,5.210999927520752,8.600999927520752
MWOA_Broker Trial 21,2.7814973033594796,9.999000310897827,0.905,0.6623862236365248,50.0,1,1,3,2,3,2.101000165939331,5.210999927520752,8.601999855041504,10.10100016593933,7.101000165939331
MWOA_Broker Trial 22,0.9625212805144074,9.443333571751912,1.0159000072479247,0.8689375025468413,50.0,2,2,2,1,3,9.100999927520752,9.544333499272664,7.961000165939331,7.210999927520752,7.210999927520752
MWOA_Broker Trial 23,3.298565588636765,10.107999906539916,1.013,0.7063316230129054,50.0,3,2,1,2,2,9.212000093460082,8.210999927520751,0.8530000209808349,10.210999927520751,7.210999927520752
MWOA_Broker Trial 24,1.6308123941873012,10.11100016593933,0.9992333405812583,0.7994922912558239,50.0,1,2,3,2,2,5.6,9.435333426793417,7.960999927520752,10.21100016593933,7.210999927520752
MWOA_Broker Trial 25,1.5778869316272017,9.442333405812581,1.1297666479746504,0.8148903779375498,50.0,2,3,2,1,2,6.767000000000001,9.543333333333333,7.85,5.210999927520752,9.100999927520752
MWOA_Broker Trial 26,0.9369171998579471,9.5,1.2659333073933918,0.8726105252316122,50.0,3,2,2,1,2,6.715000000000001,8.210999927520751,8.710999927520751,8.210999927520751,9.60100016593933
MWOA_Broker Trial 27,1.5374979639045687,10.11,1.1809000144958497,0.8061259483214146,50.0,2,2,2,2,2,6.211000165939331,6.876666666666667,7.850999927520752,10.209999999999999,9.600999927520752
MWOA_Broker Trial 28,1.8659688290489658,9.25,1.0186666428248086,0.8282162135356181,50.0,1,3,3,1,2,4.211000165939331,8.82099992752075,9.350999927520752,7.210999927520752,8.710999927520751
MWOA_Broker Trial 29,1.8657802555580296,9.249999761581421,1.0296666428248087,0.8281513747176963,50.0,1,3,3,1,2,4.211000165939331,8.819999999999999,9.350999927520752,7.21,8.709999999999999
MWOA_Broker Trial 30,1.8655990810077139,9.249000072479248,1.0185666739145913,0.8282192640457516,50.0,1,3,3,1,2,4.211000165939331,8.819999999999999,9.35,7.21,8.709999999999999

